"Package","LibPath","Version","Priority","Built"
"backports","C:/Users/peslick/Documents/R/win-library/3.4","1.1.2",NA,"3.4.3"
"bindr","C:/Users/peslick/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"bindrcpp","C:/Users/peslick/Documents/R/win-library/3.4","0.2",NA,"3.4.3"
"bit","C:/Users/peslick/Documents/R/win-library/3.4","1.1-12",NA,"3.4.1"
"bit64","C:/Users/peslick/Documents/R/win-library/3.4","0.9-7",NA,"3.4.1"
"blob","C:/Users/peslick/Documents/R/win-library/3.4","1.1.0",NA,"3.4.1"
"cli","C:/Users/peslick/Documents/R/win-library/3.4","1.0.0",NA,"3.4.3"
"clipr","C:/Users/peslick/Documents/R/win-library/3.4","0.4.0",NA,"3.4.3"
"clisymbols","C:/Users/peslick/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"crayon","C:/Users/peslick/Documents/R/win-library/3.4","1.3.4",NA,"3.4.3"
"curl","C:/Users/peslick/Documents/R/win-library/3.4","3.1",NA,"3.4.3"
"desc","C:/Users/peslick/Documents/R/win-library/3.4","1.1.1",NA,"3.4.3"
"dplyr","C:/Users/peslick/Documents/R/win-library/3.4","0.7.4",NA,"3.4.3"
"enc","C:/Users/peslick/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"fs","C:/Users/peslick/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"ggplot2","C:/Users/peslick/Documents/R/win-library/3.4","2.2.1",NA,"3.4.1"
"gh","C:/Users/peslick/Documents/R/win-library/3.4","1.0.1",NA,"3.4.3"
"git2r","C:/Users/peslick/Documents/R/win-library/3.4","0.21.0",NA,"3.4.3"
"glue","C:/Users/peslick/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"here","C:/Users/peslick/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"httpuv","C:/Users/peslick/Documents/R/win-library/3.4","1.3.5",NA,"3.4.1"
"ini","C:/Users/peslick/Documents/R/win-library/3.4","0.3.0",NA,"3.4.3"
"leaflet","C:/Users/peslick/Documents/R/win-library/3.4","1.1.0",NA,"3.4.1"
"lubridate","C:/Users/peslick/Documents/R/win-library/3.4","1.7.1",NA,"3.4.3"
"pillar","C:/Users/peslick/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"pkgconfig","C:/Users/peslick/Documents/R/win-library/3.4","2.0.1",NA,"3.4.1"
"plogr","C:/Users/peslick/Documents/R/win-library/3.4","0.1-1",NA,"3.4.1"
"png","C:/Users/peslick/Documents/R/win-library/3.4","0.1-7",NA,"3.4.1"
"raster","C:/Users/peslick/Documents/R/win-library/3.4","2.5-8",NA,"3.4.1"
"rematch2","C:/Users/peslick/Documents/R/win-library/3.4","2.0.1",NA,"3.4.3"
"rlang","C:/Users/peslick/Documents/R/win-library/3.4","0.1.6",NA,"3.4.3"
"rmarkdown","C:/Users/peslick/Documents/R/win-library/3.4","1.8",NA,"3.4.3"
"RSQLite","C:/Users/peslick/Documents/R/win-library/3.4","2.0",NA,"3.4.1"
"rstudioapi","C:/Users/peslick/Documents/R/win-library/3.4","0.7",NA,"3.4.3"
"shiny","C:/Users/peslick/Documents/R/win-library/3.4","1.0.5",NA,"3.4.1"
"styler","C:/Users/peslick/Documents/R/win-library/3.4","1.0.0",NA,"3.4.3"
"tibble","C:/Users/peslick/Documents/R/win-library/3.4","1.4.2",NA,"3.4.3"
"usethis","C:/Users/peslick/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"utf8","C:/Users/peslick/Documents/R/win-library/3.4","1.1.3",NA,"3.4.3"
"whisker","C:/Users/peslick/Documents/R/win-library/3.4","0.3-2",NA,"3.4.3"
"abind","C:/Program Files/R/R/library","1.4-5",NA,"3.4.0"
"acepack","C:/Program Files/R/R/library","1.4.1",NA,"3.4.0"
"akima","C:/Program Files/R/R/library","0.6-2",NA,"3.4.0"
"aplpack","C:/Program Files/R/R/library","1.3.0",NA,"3.4.0"
"arm","C:/Program Files/R/R/library","1.9-3",NA,"3.4.0"
"assertthat","C:/Program Files/R/R/library","0.2.0",NA,"3.4.0"
"backports","C:/Program Files/R/R/library","1.0.5",NA,"3.4.0"
"base","C:/Program Files/R/R/library","3.4.0","base","3.4.0"
"base64enc","C:/Program Files/R/R/library","0.1-3",NA,"3.4.0"
"BH","C:/Program Files/R/R/library","1.62.0-1",NA,"3.4.0"
"bitops","C:/Program Files/R/R/library","1.0-6",NA,"3.4.0"
"boot","C:/Program Files/R/R/library","1.3-19","recommended","3.4.0"
"car","C:/Program Files/R/R/library","2.1-4",NA,"3.4.0"
"caTools","C:/Program Files/R/R/library","1.17.1",NA,"3.4.0"
"cellranger","C:/Program Files/R/R/library","1.1.0",NA,"3.4.0"
"checkmate","C:/Program Files/R/R/library","1.8.2",NA,"3.4.0"
"class","C:/Program Files/R/R/library","7.3-14","recommended","3.4.0"
"cluster","C:/Program Files/R/R/library","2.0.6","recommended","3.4.0"
"coda","C:/Program Files/R/R/library","0.19-1",NA,"3.4.0"
"codetools","C:/Program Files/R/R/library","0.2-15","recommended","3.4.0"
"coin","C:/Program Files/R/R/library","1.1-3",NA,"3.4.0"
"colorspace","C:/Program Files/R/R/library","1.3-2",NA,"3.4.0"
"compiler","C:/Program Files/R/R/library","3.4.0","base","3.4.0"
"covr","C:/Program Files/R/R/library","2.2.2",NA,"3.4.0"
"crayon","C:/Program Files/R/R/library","1.3.2",NA,"3.4.0"
"crosstalk","C:/Program Files/R/R/library","1.0.0",NA,"3.4.0"
"curl","C:/Program Files/R/R/library","2.6",NA,"3.4.0"
"data.table","C:/Program Files/R/R/library","1.10.4",NA,"3.4.0"
"dataRetrieval","C:/Program Files/R/R/library","2.6.8.2",NA,"3.4.0"
"datasets","C:/Program Files/R/R/library","3.4.0","base","3.4.0"
"DBI","C:/Program Files/R/R/library","0.6-1",NA,"3.4.0"
"dichromat","C:/Program Files/R/R/library","2.0-0",NA,"3.4.0"
"digest","C:/Program Files/R/R/library","0.6.12",NA,"3.4.0"
"dplyr","C:/Program Files/R/R/library","0.5.0",NA,"3.4.0"
"DT","C:/Program Files/R/R/library","0.2",NA,"3.4.0"
"e1071","C:/Program Files/R/R/library","1.6-8",NA,"3.4.0"
"effects","C:/Program Files/R/R/library","3.1-2",NA,"3.4.0"
"evaluate","C:/Program Files/R/R/library","0.10",NA,"3.4.0"
"expm","C:/Program Files/R/R/library","0.999-2",NA,"3.4.0"
"foreign","C:/Program Files/R/R/library","0.8-68","recommended","3.4.0"
"Formula","C:/Program Files/R/R/library","1.2-1",NA,"3.4.0"
"ggplot2","C:/Program Files/R/R/library","2.2.1",NA,"3.4.0"
"ggthemes","C:/Program Files/R/R/library","3.4.0",NA,"3.4.0"
"graphics","C:/Program Files/R/R/library","3.4.0","base","3.4.0"
"grDevices","C:/Program Files/R/R/library","3.4.0","base","3.4.0"
"grid","C:/Program Files/R/R/library","3.4.0","base","3.4.0"
"gridExtra","C:/Program Files/R/R/library","2.2.1",NA,"3.4.0"
"gtable","C:/Program Files/R/R/library","0.2.0",NA,"3.4.0"
"hexbin","C:/Program Files/R/R/library","1.27.1",NA,"3.4.0"
"highr","C:/Program Files/R/R/library","0.6",NA,"3.4.0"
